2pf_1.0_GHz	2pf_1.0_GHz	2pf_2.0_GHz	2pf_2.0_GHz	2pf_3.0_GHz	2pf_3.0_GHz	2pf_4.0_GHz	2pf_4.0_GHz	2pf_5.0_GHz	2pf_5.0_GHz	2pf_6.0_GHz	2pf_6.0_GHz	2pf_7.0_GHz	2pf_7.0_GHz	2pf_8.0_GHz	2pf_8.0_GHz	2pf_9.0_GHz	2pf_9.0_GHz	2pf_10.0_GHz	2pf_10.0_GHz	2pf_11.0_GHz	2pf_11.0_GHz	2pf_12.0_GHz	2pf_12.0_GHz	2pf_13.0_GHz	2pf_13.0_GHz	2pf_14.0_GHz	2pf_14.0_GHz	2pf_15.0_GHz	2pf_15.0_GHz	2pf_16.0_GHz	2pf_16.0_GHz	2pf_17.0_GHz	2pf_17.0_GHz
1.624900E+3	15.099400E-6	1.621100E+3	2.834711E-6	1.620100E+3	-2.129887E-6	1.621100E+3	-6.606459E-6	1.626500E+3	-8.235371E-6	1.618200E+3	-5.684202E-6	1.630900E+3	-2.327702E-6	1.625800E+3	-2.455602E-6	1.625800E+3	-2.952989E-6	1.618000E+3	-250.837933E-9	1.627400E+3	1.983110E-6	1.620700E+3	-144.417887E-9	1.626900E+3	-339.996600E-9	1.625900E+3	-99.869287E-9	1.628500E+3	452.686800E-9	1.621700E+3	185.551653E-9	1.628500E+3	353.190400E-9
1.667600E+3	13.628270E-6	1.682400E+3	2.251829E-6	1.670400E+3	-2.936723E-6	1.682200E+3	-6.970482E-6	1.675100E+3	-8.547552E-6	1.680200E+3	-5.347560E-6	1.681400E+3	-2.260955E-6	1.674900E+3	-2.464605E-6	1.685000E+3	-2.578475E-6	1.683200E+3	-252.638133E-9	1.675800E+3	1.725005E-6	1.685900E+3	-143.145267E-9	1.675400E+3	-337.482133E-9	1.679900E+3	-113.901393E-9	1.682600E+3	387.618267E-9	1.683600E+3	135.725520E-9	1.684800E+3	369.271133E-9
1.722700E+3	13.105640E-6	1.726500E+3	1.673657E-6	1.725200E+3	-3.696621E-6	1.730800E+3	-7.383993E-6	1.724400E+3	-8.747599E-6	1.728800E+3	-5.261628E-6	1.729700E+3	-2.222957E-6	1.727700E+3	-2.352659E-6	1.735200E+3	-2.427165E-6	1.732600E+3	-273.499800E-9	1.732200E+3	1.607470E-6	1.728300E+3	-55.351913E-9	1.736800E+3	-419.935267E-9	1.728500E+3	-116.478160E-9	1.738800E+3	357.816000E-9	1.738600E+3	177.076533E-9	1.735400E+3	401.401800E-9
1.781400E+3	13.355210E-6	1.786000E+3	682.974000E-9	1.779600E+3	-4.501668E-6	1.778000E+3	-7.595594E-6	1.784700E+3	-8.259709E-6	1.776300E+3	-5.014891E-6	1.776700E+3	-2.208429E-6	1.776100E+3	-2.400219E-6	1.777900E+3	-2.530232E-6	1.780000E+3	-282.999533E-9	1.781700E+3	1.530854E-6	1.781300E+3	-137.929733E-9	1.789400E+3	-440.175867E-9	1.780300E+3	-37.718763E-9	1.780200E+3	282.099267E-9	1.786400E+3	396.310600E-9	1.782500E+3	312.336400E-9
1.827600E+3	13.024420E-6	1.834800E+3	-423.939843E-9	1.828200E+3	-5.466892E-6	1.828500E+3	-7.637512E-6	1.837800E+3	-7.803734E-6	1.837300E+3	-4.714384E-6	1.841500E+3	-2.037811E-6	1.834800E+3	-2.293801E-6	1.830800E+3	-2.498009E-6	1.840900E+3	-301.936667E-9	1.830600E+3	1.195825E-6	1.830800E+3	1.334910E-9	1.837800E+3	-331.087067E-9	1.834100E+3	-92.356587E-9	1.841400E+3	259.064600E-9	1.834200E+3	302.464200E-9	1.838100E+3	232.894000E-9
1.883000E+3	12.701810E-6	1.882700E+3	-1.878303E-6	1.893100E+3	-5.729589E-6	1.888100E+3	-7.519407E-6	1.891200E+3	-7.663352E-6	1.886100E+3	-4.787773E-6	1.881400E+3	-2.096609E-6	1.888100E+3	-2.453242E-6	1.884900E+3	-2.694394E-6	1.894400E+3	-237.364333E-9	1.896000E+3	1.204457E-6	1.888700E+3	-93.722607E-9	1.891400E+3	-414.564600E-9	1.887300E+3	-88.165733E-9	1.889800E+3	221.345600E-9	1.890600E+3	192.287867E-9	1.893500E+3	156.866667E-9
1.930600E+3	11.713100E-6	1.944700E+3	-3.203765E-6	1.944000E+3	-6.380829E-6	1.936200E+3	-7.434655E-6	1.939700E+3	-7.302342E-6	1.934900E+3	-4.567359E-6	1.940400E+3	-1.949952E-6	1.942800E+3	-2.391962E-6	1.946400E+3	-2.730341E-6	1.944600E+3	-281.819800E-9	1.946300E+3	1.369609E-6	1.945400E+3	-226.871400E-9	1.939800E+3	-436.978467E-9	1.948500E+3	-152.085933E-9	1.946500E+3	210.883533E-9	1.950900E+3	166.304067E-9	1.950400E+3	255.028933E-9
1.991000E+3	11.837920E-6	1.993700E+3	-4.729284E-6	1.987000E+3	-7.077770E-6	1.997900E+3	-6.996745E-6	1.988800E+3	-6.899081E-6	1.999700E+3	-4.378859E-6	1.999400E+3	-1.662169E-6	1.990900E+3	-2.389291E-6	1.995100E+3	-2.518312E-6	1.998400E+3	-157.766867E-9	1.999800E+3	1.344900E-6	1.999500E+3	-159.070867E-9	1.994500E+3	-535.638400E-9	1.996300E+3	-62.523133E-9	1.995200E+3	146.963667E-9	2.000600E+3	210.542000E-9	1.999200E+3	190.208000E-9
2.038700E+3	12.342300E-6	2.043100E+3	-6.532573E-6	2.048800E+3	-7.757904E-6	2.042100E+3	-6.776395E-6	2.053700E+3	-6.531643E-6	2.043100E+3	-4.481180E-6	2.049400E+3	-1.747541E-6	2.052700E+3	-2.257417E-6	2.043700E+3	-2.561587E-6	2.044900E+3	-100.955947E-9	2.043500E+3	1.327762E-6	2.053000E+3	-335.805733E-9	2.048900E+3	-456.381133E-9	2.054800E+3	-63.702853E-9	2.046200E+3	57.587080E-9	2.054200E+3	189.680267E-9	2.048100E+3	242.580133E-9
2.092100E+3	13.307180E-6	2.096700E+3	-8.468881E-6	2.102400E+3	-8.173345E-6	2.102100E+3	-6.397221E-6	2.093700E+3	-6.007431E-6	2.104300E+3	-4.449269E-6	2.103700E+3	-1.669187E-6	2.101800E+3	-2.155716E-6	2.105100E+3	-2.361601E-6	2.104700E+3	-205.761267E-9	2.105100E+3	1.284737E-6	2.096100E+3	-269.060533E-9	2.097800E+3	-364.925000E-9	2.097100E+3	-57.276643E-9	2.100700E+3	74.971927E-9	2.104100E+3	101.669793E-9	2.098000E+3	191.511933E-9
2.146300E+3	14.492560E-6	2.158800E+3	-9.877417E-6	2.153700E+3	-8.934981E-6	2.152000E+3	-6.174201E-6	2.159200E+3	-5.735362E-6	2.158400E+3	-4.517813E-6	2.158000E+3	-1.441011E-6	2.151000E+3	-2.336889E-6	2.155100E+3	-2.566677E-6	2.149000E+3	6.829743E-9	2.149600E+3	1.387555E-6	2.154600E+3	-208.182800E-9	2.159700E+3	-348.968333E-9	2.156500E+3	-1.924733E-9	2.161300E+3	141.127187E-9	2.153000E+3	151.589007E-9	2.153400E+3	204.736733E-9
2.201700E+3	14.748480E-6	2.207700E+3	-9.599510E-6	2.207800E+3	-9.697299E-6	2.201300E+3	-5.827065E-6	2.202400E+3	-5.437463E-6	2.207700E+3	-4.333287E-6	2.200400E+3	-1.372031E-6	2.211600E+3	-2.274615E-6	2.208500E+3	-2.559599E-6	2.202800E+3	-109.772467E-9	2.214500E+3	1.462617E-6	2.203900E+3	-214.205267E-9	2.208000E+3	-426.019800E-9	2.210700E+3	-32.130793E-9	2.209800E+3	153.638133E-9	2.214200E+3	125.822560E-9	2.213800E+3	183.781867E-9
2.248700E+3	15.379590E-6	2.255600E+3	-8.482420E-6	2.260500E+3	-10.718840E-6	2.260300E+3	-5.543944E-6	2.261700E+3	-5.220962E-6	2.259700E+3	-4.411270E-6	2.253400E+3	-1.411149E-6	2.263800E+3	-2.266047E-6	2.256100E+3	-2.296034E-6	2.260200E+3	-112.939067E-9	2.258200E+3	1.608091E-6	2.256600E+3	-235.129267E-9	2.256000E+3	-268.936467E-9	2.263400E+3	-93.753600E-9	2.267600E+3	188.966267E-9	2.266300E+3	74.195720E-9	2.266200E+3	220.320800E-9
