hx,rxy_hx,h45,rxy_h45,hy,rxy_hy
1166.667,3.175563,1166.667,3.120103,1166.667,3.165429
1250,3.106709,1250,3.0453,1250,3.095522
1333.333,3.027046,1333.333,2.960891,1333.333,3.008849
1416.667,2.929522,1416.667,2.866986,1416.667,2.89238
1500,2.80046,1500,2.748083,1500,2.737975
1583.333,2.640363,1583.333,2.601242,1583.333,2.565424
1666.667,2.475843,1666.667,2.438833,1666.667,2.398788
1750,2.310687,1750,2.264455,1750,2.23762
1833.333,2.15643,1833.333,2.100129,1833.333,2.091277
1916.667,2.009922,1916.667,1.942463,1916.667,1.951363
2000,1.880943,2000,1.800851,2000,1.826518
2083.333,1.763419,2083.333,1.673065,2083.333,1.713371
2166.667,1.661573,2166.667,1.562211,2166.667,1.615348
2250,1.572855,2250,1.465467,2250,1.530671
2333.333,1.498565,2333.333,1.383694,2333.333,1.459296
2416.667,1.436088,2416.667,1.315757,2416.667,1.398888
2500,1.383241,2500,1.258398,2500,1.34952
2583.333,1.338881,2583.333,1.208715,2583.333,1.306791
2666.667,1.302222,2666.667,1.167652,2666.667,1.270557
2750,1.270954,2750,1.133841,2750,1.241127
2833.333,1.244597,2833.333,1.104037,2833.333,1.215957
2916.667,1.221786,2916.667,1.077076,2916.667,1.194018
3000,1.202027,3000,1.05593,3000,1.175264
3083.333,1.185477,3083.333,1.037451,3083.333,1.15953
3166.667,1.170667,3166.667,1.019832,3166.667,1.145413
3250,1.157657,3250,1.005421,3250,1.133181
3333.333,1.146055,3333.333,0.991036223,3333.333,1.122235
3416.667,1.135882,3416.667,0.98023226,3416.667,1.112516
3500,1.127018,3500,0.970276604,3500,1.103367
3583.333,1.118844,3583.333,0.960070695,3583.333,1.095447
3666.667,1.111264,3666.667,0.949295192,3666.667,1.090218
3750,1.104786,3750,0.942079256,3750,1.084137
3833.333,1.098125,3833.333,0.934952033,3833.333,1.07757
3916.667,1.093077,3916.667,0.928209141,3916.667,1.072262
4000,1.087575,4000,0.922518389,4000,1.067679
4083.333,1.08252,4083.333,0.916242286,4083.333,1.064028
4166.667,1.077766,4166.667,0.911445606,4166.667,1.060067
4250,1.073506,4250,0.905462291,4250,1.055821
4333.333,1.068667,4333.333,0.903223858,4333.333,1.052292
4416.667,1.066474,4416.667,0.899358872,4416.667,1.049072
4500,1.062715,4500,0.895991879,4500,1.045871
4583.333,1.060185,4583.333,0.892022632,4583.333,1.044007
4666.667,1.056307,4666.667,0.889129612,4666.667,1.041174
4750,1.053525,4750,0.888187368,4750,1.038769
4833.333,1.049998,4833.333,0.885119604,4833.333,1.036975
4916.667,1.047624,4916.667,0.881166333,4916.667,1.034263
5000,1.045269,5000,0.879054769,5000,1.03219
7000,1.017859,7000,0.841096242,7000,1.003528
9000,1.007704,9000,0.826564704,9000,0.992888921
7000,1.018895,7000,0.841979502,7000,1.002725
5000,1.047099,5000,0.87721668,5000,1.02915
4916.667,1.050181,4916.667,0.880075226,4916.667,1.032015
4833.333,1.051422,4833.333,0.883895927,4833.333,1.03398
4750,1.053479,4750,0.885719694,4750,1.036514
4666.667,1.055737,4666.667,0.89008135,4666.667,1.038856
4583.333,1.057977,4583.333,0.893395403,4583.333,1.041448
4500,1.061259,4500,0.896756125,4500,1.045051
4416.667,1.062988,4416.667,0.900649115,4416.667,1.04813
4333.333,1.066405,4333.333,0.90432053,4333.333,1.051568
